"Project Title","Project Acronym","Project Description","Project ID","Finance Project Code","Finance Unit Code",Status,"Lockdown Status","Success Status","Assigned To","Duration (Years)","Project Dates Start","Project Dates End","Proposed End Date","Project Type","Project Activity Type",Tags,Funder,Scheme,"HESA Funder Category","VAT Code","VAT Review Complete?",Opportunity,"Name of Call","Sub-section of Call","URL of Call","URL of Sub-section","Funder Deadline","Award Ceiling","Bid Submitted Date","Supplement Submitted Date","Auto Progress Date","Bid Awarded Date","Supplement Awarded Date","Project Lead",Co-Investigator(s),"Other Editors",Visibility,"View Access","Lead Organisation","Paid via Lead Organisation",Collaborator(s),Subawardee(s),Partner(s),"Other Organisation(s)","Lead Subproject","Other Subprojects","All Subprojects","Lead Org Unit","Other Org Units","All Org Units","Lead Department","NHS Involvement","NHS Reference","Research Areas",Themes,"Research Centres/Groups",Countries,"Pre-award Liaison","Post-award Liaison",Portfolio,"Portfolio Group","Business Liaison","International Development Office Project","Project Phase","Supplementary T&Cs?","Supplementary T&C Details","Bid Restrictions?","Bid Restriction Details","Sponsor Data Retention Limit","Peer Review","Peer Review Notes","Willing to Peer Review Others","Project SharePoint Link","Ethics Implications","Resource Implications","Resource Implication Details","Rationale for Application to this Funder","Related Project(s)","Corporation Tax","Use Bid as a Learning Tool","Transferred In","Transferred In Date","Transferred From","Transferred Out","Transferred Out Date","Transferred To",Retrospective,"HESA Cost Centre","Funder Award Reference","Income Method","Unit of Assessment","HEBCI Main","HEBCI Sub","Material Code","Approved Date","Success Probability %","Lessons Learned Review Completed","Final Report Submitted","Location of Archived Hardcopy","Data Verification Override",Notes,"Price to Funder at Submit","Price to Funder","Cost to HEI at Submit","Cost to HEI","Cost to Funder at Submit","Cost to Funder","Surplus / -Deficit","% Recovery","Marginal Surplus / -Deficit","Marginal % Recovery","Contribution to Overheads","% Contribution to Overheads","Directly Incurred Expenditure Budget","Expenditure Budget","Actual Spend","Expenditure Balance","Committed Spend","Available Balance","Directly Incurred Costs","Directly Incurred Costs (ex Partner Costs)","Directly Incurred Expenditure Budget (ex Partner Costs)","Expenditure Budget (ex Partner Costs)","Actual Spend (ex Partner Costs)","Expenditure Balance (ex Partner Costs)","Committed Spend (ex Partner Costs)","Available Balance (ex Partner Costs)","Directly Incurred Non Staff Costs (ex Partner Costs)","Consumables Cost to HEI","Equipment Cost to HEI","Directly Allocated Costs","Directly Allocated Staff Costs","Estates Costs","Technician Costs","Indirect Costs","Exceptions Costs","Price to Funder (ex Partner Costs)","Price to Funder at Submit (ex Partner Costs)","Cost to HEI (ex Partner Costs)","Cost to HEI at Submit (ex Partner Costs)","Cost to Funder (ex Partner Costs)","Cost to Funder at Submit (ex Partner Costs)","Surplus / -Deficit (ex Partner Costs)","% Recovery (ex Partner Costs)","Marginal Surplus / -Deficit (ex Partner Costs)","Marginal % Recovery (ex Partner Costs)","Contribution to Overheads (ex Partner Costs)","% Contribution to Overheads (ex Partner Costs)",Updated,"Milestone Template","Public Status","Public URL",Created,"Created By","Last Event Date"
"Pre-term trial garments for Snugby",,,538426,,,"Bid Development",,Pending,"Helen McIntyre (HM306),Pre-award Admin",1,2023-05-01,2024-04-30,,"OO - Other Services (OSR)",Research,,"Funder not listed - Commercial","Funder not listed - Commercial Default Scheme","EU Industry, Commerce & Public Corporations","Y5 Income - Services to EU - Zero Rate",,,,,,,,,,,,,,"Helen McIntyre (HM306)",,,"Only people involved in this project",,,Yes,,,,,"LS/AH: Midwifery",,"LS/AH: Midwifery","LS/AH: Midwifery",,"LS/AH: Midwifery",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin","Manish Asiani (MA689)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,0,0.00,0,0.00,0,"2023-04-18 11:57:48",,Private,,"2023-04-18 11:44:23","Manish Asiani (MA689)","2023-08-24 09:17"
"COVID 19 PHOSP Care pathways post-hospitalization for C19: understanding profess",,,455951,RM62G1103,,"Extension Approval",Locked,Successful,"Post-award Admin",2,2021-06-01,2022-09-30,2023-09-30,"RO - Standard Research",Research,"Legacy Project","NIHR National Institute of Health Research",,"UK Central Government",,,,,,,,,,"2020-10-30 00:00",,,2021-12-22,,"Natalie Armstrong (NA144)","Rachael Evans (RE66),Sally Singh (SS1119)",,"Only people involved in this project",,,Yes,,,"London School of Hygiene & Tropical Medicine",,"COVID 19 PHOSP Care pathways post-hospitalization for C19: understanding profess",,"COVID 19 PHOSP Care pathways post-hospitalization for C19: understanding profess","LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences",,,,,,"99 - Not Applicable for Institute reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NIHR202708 100086PHSR",,,,,,,,,,,,,0.00,166939.43,0.00,167784.99,0.00,166939.43,-845.56,99.5,88081.13,52.76,64891.04,38.87,78228.83,166939.43,164266.12,2673.31,0.00,2673.31,78858.30,78858.30,78228.83,166939.43,164266.12,2673.31,0.00,2673.31,11305.67,0.00,1555.67,31166.01,23190.09,7975.92,0.00,57760.68,0.00,166939.43,0.00,167784.99,0.00,166939.43,0.00,-845.56,99.5,88081.13,52.76,64891.04,38.87,"2023-04-18 11:15:33",,Discoverable,,"2023-01-16 15:54:32","David Downton (dd22)","2023-04-18 11:15"
"Identifying and Targeting Age-related Senescent Ecosystems",,,528257,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",2,2023-09-01,2025-08-31,,"RO - Standard Research",Research,,"MRC MRC",,"Research Councils - MRC","Y6 Income - Outside the Scope",,,"Ageing Research Development Awards",,https://www.ukri.org/opportunity/ageing-research-development-awards/,,"2023-04-18 16:00",,"2023-04-18 10:08",,"2024-04-17 00:00",,,"Salvador Macip Maresma (SM460)",,,"Only people involved in this project",,,Yes,,"University of Cambridge",,,"LS: Molecular & Cell Biology",,"LS: Molecular & Cell Biology","LS: Molecular & Cell Biology",,"LS: Molecular & Cell Biology",,No,,,,,,"Yusuf Dedat (YD134)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-04-14 09:30",,,,,,,317353.88,317353.88,405142.88,405142.88,396692.36,396692.36,-87788.99,78.33,45766.99,14.42,18031.81,5.68,263136.37,396692.36,0.00,396692.36,0.00,396692.36,271586.89,232034.89,223584.37,396692.36,0.00,396692.36,0.00,396692.36,79365.23,30000.00,0.00,98454.19,27735.19,3496.20,421.80,35101.80,0.00,215955.48,215955.48,278394.88,278394.88,269944.36,269944.36,-62439.39,77.57,-16079.41,-7.45,-43814.59,-20.29,"2023-04-18 10:08:59",,Discoverable,,"2023-03-24 16:12:27","Salvador Macip Maresma (SM460)","2023-04-18 10:11"
"Iain Squire",,,532916,,,"Bid Development",,Pending,"Hayley Keatley-Lill (HLKL2),Pre-award Admin",2,2023-05-01,2024-09-30,,"RC - Research Clinical Trial",Research,,"ASTRAZENECA UK AstraZeneca UK Limited","ASTRAZENECA UK Default Scheme","UK Industry & Commerce","YS Income - Standard Rated 20% VAT",,,,,,,,,,,,,,"Hayley Keatley-Lill (HLKL2)",,,"Only people involved in this project",,,Yes,,,,,"LS/PS: Clinical Trials Unit",,"LS/PS: Clinical Trials Unit","LS/PS: Clinical Trials Unit",,"LS/PS: Clinical Trials Unit",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,246372.92,,205597.81,,205310.77,40775.11,119.83,174342.11,70.76,174342.11,70.76,71743.77,205310.77,0.00,205310.77,0.00,205310.77,72030.81,72030.81,71743.77,205310.77,0.00,205310.77,0.00,205310.77,0.00,0.00,0.00,34282.50,0.00,30591.75,3690.75,99284.50,0.00,246372.92,,205597.81,,205310.77,,40775.11,119.83,174342.11,70.76,174342.11,70.76,"2023-04-18 09:37:05",,Private,,"2023-03-31 12:36:15","Hayley Keatley-Lill (HLKL2)","2023-04-20 11:56"
"JUICE Travel Support",,"Award to support travel costs associate with JUICE activities for Emma Bunce and Leigh Fletcher",480562,RP16W480562,,"Project Live",Locked,Successful,"Emma Bunce (EJB10),Leigh Fletcher (LNF2),Post-award Admin,Pre-award Admin",2,2023-04-01,2025-03-31,,"RV - Research Travel Only",Research,,"STFC Science & Technology Facilities Cnl",,"Research Councils - STFC","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"Urgency Award: Cosmic Vision",,n/a,,,,"2023-02-13 16:35",,"2024-02-13 00:00",2023-02-17,,"Emma Bunce (EJB10)","Leigh Fletcher (LNF2)",,"Only people involved in this project",,,Yes,,,,,"SE/PA: Planetary Science",,"SE/PA: Planetary Science","SE/PA: Planetary Science",,"SE/PA: Planetary Science",,No,,,,"99 - Not Applicable for Institute reporting",,"Sue Atkinson (SAM45)","Peter Creese (PC326)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,Physics,ST/Y000445/1,"12 - Claim to be submitted - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-02-07 22:22",,,,,,,8000.00,8097.48,8000.00,8000.00,8000.00,8097.48,97.48,101.22,97.48,1.2,97.48,1.2,8097.48,8097.48,4254.60,3842.88,0.00,3842.88,8000.00,8000.00,8097.48,8097.48,4254.60,3842.88,0.00,3842.88,8000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8097.48,8000.00,8000.00,8000.00,8097.48,8000.00,97.48,101.22,97.48,1.2,97.48,1.2,"2023-04-17 15:55:04",,Discoverable,,"2023-02-03 09:46:24","Emma Bunce (EJB10)","2023-04-17 15:55"
"DATAMA: Decision making systems for smart animal husbandry",DATAMA,,476709,,,"Bid Unsuccessful",Locked,Unsuccessful,"Huiyu Zhou (HZ143),Pre-award Admin",2,2023-05-01,2025-03-31,,"RO - Standard Research",Research,,"EPSRC EPSRC ENG.& PHYS.SCIENCES R C","EPSRC Default Scheme","Research Councils - EPSRC","Y6 Income - Outside the Scope",,,"Artificial intelligence research to enable UK’s net zero target",,https://www.ukri.org/opportunity/artificial-intelligence-research-to-enable-uks-net-zero-target/,,"2023-02-02 11:05",2500000.00,"2023-02-02 15:04",,"2024-02-02 00:00",,,"Huiyu Zhou (HZ143)",,,"Only people involved in this project",,,Yes,,"Partner not Listed,The University of Ulster,University of Strathclyde",,,"SE/CM: Computing Sciences",,"SE/CM: Computing Sciences","SE/CM: Computing Sciences",,"SE/CM: Computing Sciences",,,,,,"99 - Not Applicable for Institute reporting",,"Anna Kardas (AM565)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,Yes,"UK Research and Innovation (UKRI) will fund up to £2,500,000 at 80% full economic cost.

General questions 
Q Does the grant value of between £1m and £2.5m mean the project budget or the funding value? 
A This is the 80% FEC value, and is the amount that should be request from UKRI",,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-01-31 19:40",,,,,,,1623580.26,1623580.26,2044392.85,2044392.85,2029475.32,2029475.32,-420812.59,79.42,697764.20,42.98,648253.03,39.93,910898.53,2029475.32,0.00,2029475.32,0.00,2029475.32,925816.06,476729.06,461811.53,2029475.32,0.00,2029475.32,0.00,2029475.32,126440.00,0.00,0.00,411059.58,49511.17,40813.88,5972.52,707517.21,0.00,587077.86,587077.86,748764.85,748764.85,733847.32,733847.32,-161686.99,78.41,110348.80,18.8,60837.63,10.36,"2023-04-17 15:30:52",,Discoverable,,"2023-01-31 11:03:26","Anna Kardas (AM565)","2023-04-17 15:30"
"Diagnostic and treatment delays in heart failure; multidimensional correlates and stakeholder consensus",,,502951,RM61W502951,,"Project Live",Locked,Successful,"Claire Lawson (CL417),Iain Squire (IS11),Post-award Admin,Pre-award Admin",2,2023-03-31,2024-08-31,,"RO - Standard Research",Research,,"BRITCARDIC BRITISH CARDIAC SOCIETY","BRITCARDIC Default Scheme","UK Charities (Open Competition & External Peer Review)","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"BHF CRC Research development fund",,https://bhfcrc.org/research-development-fund/,,"2022-11-27 00:00",10000.00,"2023-03-02 10:56",,"2024-03-01 00:00",2023-03-02,,"Claire Lawson (CL417)","Iain Squire (IS11)",,"Only people involved in this project",,,Yes,,,,,"LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences","LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences",,Yes,,,,"99 - Not Applicable for Institute reporting",,"Kerry Warner (KW153)","Fionnagh Thomson (HFT4)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Clinical medicine",n/a,"14 - Invoice to be Raised - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-02-20 15:27",,,,,,"Invoice for full funding to be sent to funder with signed agreement before 15 March 2023.",5120.00,5120.00,45460.07,45460.07,5120.00,5120.00,-40340.07,11.26,0.00,0,-24121.22,-471.12,5120.00,5120.00,999.67,4120.33,0.00,4120.33,5120.00,5120.00,5120.00,5120.00,999.67,4120.33,0.00,4120.33,5120.00,0.00,1000.00,28284.10,24121.22,3714.71,448.16,12055.98,0.00,5120.00,5120.00,45460.07,45460.07,5120.00,5120.00,-40340.07,11.26,0.00,0,-24121.22,-471.12,"2023-04-17 15:10:05",,Discoverable,,"2023-02-20 14:44:21","Kerry Warner (KW153)","2023-04-17 15:10"
"A qualitative examination of the enablers and barriers of introducing predictive occupancy data to hospital operational flow meetings",,"Translating predictive occupancy data into real-time discharge action",497278,RM62W497278,,"Project Live",Locked,Successful,"Carolyn Tarrant (CCP3),Post-award Admin,Pre-award Admin",1,2023-01-01,2023-12-31,,"RO - Standard Research",Research,,"HEALTH FOUNDATION The Health Foundation","HEALTH FOUNDATION Default Scheme","UK Charities (Open Competition & External Peer Review)","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,,,https://q.health.org.uk/idea/2022/translating-predictive-occupancy-data-into-real-time-discharge-action,,,,"2023-03-16 11:03",,"2024-03-15 00:00",2023-03-16,,"Carolyn Tarrant (CCP3)",,,"Only people involved in this project",,"UHL NHS Trust",Yes,,,,,"LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences","LS/HS: Population Health Sciences",,"LS/HS: Population Health Sciences",,Yes,,,,"99 - Not Applicable for Institute reporting",,"Vicki Inchley (VLC2)","Jane Bee (JB759)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,Yes,"Clinical medicine",TBC,"14 - Invoice to be Raised - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-03-16 11:03",,,,,,"Application was reported in SAPGM (RM62G1235).  Costing 40637.  A revised costing was raised in LUCRE (45873) but just left as approved.  

UHL were awarded a HTA project and they want UOL to do some work.  This work is classed as collaborative work & UHL confirmed FTA would be best to devolve the funds.

Contract 522322.",0.00,21662.56,0.00,44071.04,0.00,21662.56,-22408.48,49.15,-1170.83,-5.4,-1189.46,-5.49,21662.56,21662.56,11797.91,9864.65,4956.00,4908.65,22833.39,22833.39,21662.56,21662.56,11797.91,9864.65,4956.00,4908.65,3000.00,0.00,0.00,2435.70,18.64,2417.06,0.00,18801.96,0.00,21662.56,0.00,44071.04,0.00,21662.56,0.00,-22408.48,49.15,-1170.83,-5.4,-1189.46,-5.49,"2023-04-17 14:34:17",,Discoverable,,"2023-02-14 17:22:30","Vicki Inchley (VLC2)","2023-04-17 14:30"
"UK-REACH MRC Cohort LPS stage 1 April 2023",,"MRC Stage LPS Cohort bid",509855,,,"Bid Approval",Locked,Pending,HoDiabetes,5,2024-01-01,2028-12-31,,"RO - Standard Research",Research,,"UKRI UK Research and Innovation UKRI","UKRI Default Scheme","Research Councils - UKRI","Y6 Income - Outside the Scope",,,"MRC LPS Cohort - stage 1",,https://www.ukri.org/about-us/mrc/how-we-are-governed/longitudinal-population-studies-strategic-advisory-panel/,,"2023-04-21 12:25",2000000.00,,,,,,"Manish Pareek (MP426)","Kamlesh Khunti (KK22),Martin Tobin (MT47),Rebecca Baggaley (RFW8),Anna Guyatt (ALG28),Christopher Martin (CM712),Louise Wain (LVW1)","Holly Reilly (HLR21)","Only people involved in this project",,,Yes,,"Swansea University,University College London,UNIVERSITY OF EDINBURGH,University of Nottingham",,,"LS: Respiratory Sciences","LS/HS: Diabetes,LS/HS: Population Health Sciences","LS/HS: Diabetes,LS/HS: Population Health Sciences,LS: Respiratory Sciences","LS: Respiratory Sciences","LS/HS: Diabetes,LS/HS: Population Health Sciences","LS/HS: Diabetes,LS/HS: Population Health Sciences,LS: Respiratory Sciences",,,,,,"99 - Not Applicable for Institute reporting",,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999146.89,,2659729.79,,2498933.61,-660582.91,75.16,444467.48,22.23,310082.03,15.51,1396379.22,2498933.61,0.00,2498933.61,0.00,2498933.61,1554679.40,1547623.88,1389323.70,2498933.61,0.00,2498933.61,0.00,2498933.61,179669.47,0.00,5777.60,440315.92,134385.45,191198.44,23067.19,664734.48,0.00,1884805.52,,2516803.08,,2356006.90,,-631997.57,74.89,337181.64,17.89,202796.18,10.76,"2023-04-17 13:21:30",,Discoverable,,"2023-03-01 12:22:01","Manish Pareek (MP426)","2023-04-19 16:42"
"Characterising cardiac involvement in severe sepsis",SURVIVE,"A pilot observational study (single-centre) testing the feasibility of undertaking multi-modality imaging in adult patients with severe sepsis.",537625,,,"Bid Development",,Pending,"Pre-award Admin,Ranjit Arnold (JRA14)",1,2023-09-01,2024-08-31,,"RO - Standard Research",Research,,"VAN GEEST FOUND The John & Lucille Van Geest Foundation","VAN GEEST FOUND Default Scheme","UK Charities (Other Process)","Y6 Income - Outside the Scope",,,"High risk call",,,,"2023-05-08 11:45",25000.00,,,,,,"Ranjit Arnold (JRA14)",,,"People involved in this project and ...","Kerry Warner (KW153)",,Yes,,,,,"LS: Cardiovascular Sciences","LS: Medicine","LS: Cardiovascular Sciences,LS: Medicine","LS: Cardiovascular Sciences","LS: Medicine","LS: Cardiovascular Sciences,LS: Medicine",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,21240.00,,21240.00,,21240.00,0.00,100,0.00,0,0.00,0,21240.00,21240.00,0.00,21240.00,0.00,21240.00,21240.00,21240.00,21240.00,21240.00,0.00,21240.00,0.00,21240.00,21240.00,21080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21240.00,,21240.00,,21240.00,,0.00,100,0.00,0,0.00,0,"2023-04-17 11:52:22",,Private,,"2023-04-17 11:39:17","Ranjit Arnold (JRA14)","2023-04-24 13:32"
"Understanding exhaled Mtb in Drug resistant TB",,,449222,RM63G1186,,"Project Live",Locked,Successful,"Post-award Admin,Pre-award Admin",1,2022-12-01,2023-11-30,,"RO - Standard Research",Research,"Legacy Project","MEDICALRESEARCHFOUND Medical Research Foundation",,"UK Charities (Open Competition & External Peer Review)",,,,,,,,,,"2022-06-15 00:00",,,2022-10-13,,"Caroline Williams (CW329)",,,"Only people involved in this project",,,Yes,,"University of Pretoria",,,"Understanding exhaled Mtb in Drug resistant TB",,"Understanding exhaled Mtb in Drug resistant TB","LS: Respiratory Sciences",,"LS: Respiratory Sciences",,,,,,"99 - Not Applicable for Institute reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRF131-0009RG-UECK-C0945,,,,,,,,,,,,,0.00,30000.00,0.00,75769.78,0.00,30000.00,-45769.78,39.59,0.00,0,-31940.20,-106.47,30000.00,30000.00,14055.00,15945.00,0.00,15945.00,30000.00,16000.00,16000.00,30000.00,14055.00,15945.00,0.00,15945.00,16000.00,12000.00,0.00,34847.92,31940.20,2536.56,371.16,10921.86,0.00,16000.00,0.00,61769.78,0.00,16000.00,0.00,-45769.78,25.9,0.00,0,-31940.20,-199.63,"2023-04-17 10:50:22",,Discoverable,,"2022-11-18 15:14:56","David Downton (dd22)","2023-10-09 13:56"
"	 Identification of Organophosphorous Flame Retardants (OPFRs) concentrations (Phase 2 study)",,,536806,,,"Bid Development",,Pending,"Mick Whelan (MJW72),Pre-award Admin",1,2023-05-01,2024-04-30,,"OH - Consultancy (OSR)",Other,,"Ricardo Energy and Environment  Ricardo-AEA Limited","Ricardo Energy and Environment  Consultancy default scheme","UK Industry & Commerce","YS Income - Standard Rated 20% VAT",,,,,,,,,,,,,,"Mick Whelan (MJW72)",,,"Only people involved in this project",,,Yes,,,,,"SE/GE: Physical Geography",,"SE/GE: Physical Geography","SE/GE: Physical Geography",,"SE/GE: Physical Geography",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin","Carl Edwards (CE133)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,16190.27,,13499.29,,13454.23,2690.98,119.93,7056.26,43.58,7056.26,43.58,9088.96,13454.23,0.00,13454.23,0.00,13454.23,9134.02,9134.02,9088.96,13454.23,0.00,13454.23,0.00,13454.23,0.00,0.00,0.00,497.05,0.00,497.05,0.00,3868.23,0.00,16190.27,,13499.29,,13454.23,,2690.98,119.93,7056.26,43.58,7056.26,43.58,"2023-04-17 10:17:29",,Private,,"2023-04-13 15:06:24","Amy Stewart (AIS9)","2023-08-09 15:01"
"Consultancy agreement with PBD Biotech for clinical development of Actiphage as a TB biomarker",,"This Consultancy agreement with PBD Biotech is being set up to  facilitate development of their technology (Actiphage) as a clinical biomarker for TB infection as part of the ongoing Collaboration between UoL and PBD Biotech, through the following activities: 

1.	Clinical representation in video calls with diagnostic companies, Pharma companies and laboratory testing companies trading in the USA
2.	Document Review for clinical content under design control (ISO13485)
3.	Business Case Review for clinical content
4.	Clinical risk assessment of PBD Biotech Ltd’s products
5.	Any other relevant services within the skill, knowledge and legal remit of the agreement.",537478,,,"Bid Development",,Pending,"Pranabashis Haldar (PH62),Pre-award Admin",2,2023-01-02,2024-06-03,,"OH - Consultancy (OSR)",Research,,"PBD Biotech Ltd",,"EU Industry, Commerce & Public Corporations","Y5 Income - Services to EU - Zero Rate",,,,,,,,,,,,,,"Pranabashis Haldar (PH62)",,,"Only people involved in this project",,,Yes,,,,,"LS: Respiratory Sciences",,"LS: Respiratory Sciences","LS: Respiratory Sciences",,"LS: Respiratory Sciences",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin","Carl Edwards (CE133)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,9227.36,,7715.84,,7689.47,1511.52,119.59,3925.67,42.54,3925.67,42.54,5275.31,7689.47,0.00,7689.47,0.00,7689.47,5301.69,5301.69,5275.31,7689.47,0.00,7689.47,0.00,7689.47,0.00,0.00,0.00,613.92,0.00,547.31,66.61,1800.24,0.00,9227.36,,7715.84,,7689.47,,1511.52,119.59,3925.67,42.54,3925.67,42.54,"2023-04-17 10:14:35",,Private,,"2023-04-17 08:56:31","Pranabashis Haldar (PH62)","2023-06-20 15:40"
"Identifying novel plasma biomarkers for diagnosis and therapeutic monitoring in Alzheimer’s Disease",,,537482,,,"Bid Development",,Pending,"Elizabeta Mukaetova-Ladinska (EML12),Pre-award Admin",3,2024-01-01,2026-12-31,,"RO - Standard Research",Research,,"ALZHEIMERS RESEARCH Alzheimer’s Research UK","ALZHEIMERS RESEARCH Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,,,,,"2023-03-24 09:00",,,,,,,"Elizabeta Mukaetova-Ladinska (EML12)",,,"Only people involved in this project",,,Yes,,,,,"LS: Neuroscience, Psychology & Behaviour",,"LS: Neuroscience, Psychology & Behaviour","LS: Neuroscience, Psychology & Behaviour",,"LS: Neuroscience, Psychology & Behaviour",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,,0.00,0,0.00,0,0.00,0,"2023-04-17 09:03:25",,Private,,"2023-04-17 09:00:27","William Hudson (WOH3)","2023-04-25 08:51"
"Midlands Space Cluster",,,471911,RP16W471911,,"Project Live",Locked,Successful,"Mark Sims (MRS),Martin Barstow (MAB),Post-award Admin,Pre-award Admin",3,2023-02-01,2025-03-31,,"RO - Standard Research",Research,,"UKSA UK Space Agency","UK SPACE AGENCY Default Scheme","UK Central Government","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"Space Cluster Development Funding Call",,https://www.gov.uk/government/publications/announcement-of-opportunity-space-cluster-development-funding-call,,"2022-10-21 14:55",,"2023-03-29 08:58",,"2024-03-28 00:00",2023-03-29,,"Martin Barstow (MAB)","Mark Sims (MRS)",,"Only people involved in this project",,,Yes,"Leicester City Council","Midlands Aerospace Alliance,National Space Centre,The Manufacturing Technology Centre Ltd,University of Birmingham,University of Nottingham",,,"SE/PA: Physics & Astronomy","SE/PA: Space Research Centre","SE/PA: Physics & Astronomy,SE/PA: Space Research Centre","SE/PA: Physics & Astronomy","SE/PA: Space Research Centre","SE/PA: Physics & Astronomy,SE/PA: Space Research Centre",,No,,,,"99 - Not Applicable for Institute reporting",,"Sue Atkinson (SAM45)","Peter Creese (PC326)","Post-award Admin (Project Setup)","Post-award Admin","Teresa Raventos (TR91)",,,,,,,,,,,,,No,,,,,,,,,,,,,Physics,TBC,"14 - Invoice to be Raised - Actual Costs",,"Collaborative Research involving public funding","EU Government (Collaborative)",,"2023-03-29 08:58",,,,,,"PO Number: 417000004988
this was never submitted in SAP - went in without our knowledge. draft costings bear no resemblance to award so not saved. 
Awarded budgets have been based on funding agreement and the  updates spreadsheet completed by Clare Edwards, therefore PI time (combined with OH) has been estimated to be as close as possible to awarded values and have added the additional onto awarded bugets under indirects. 
collaborator budgets have been split as per the updated spreadhseet and separated into pay and non-pay. pay budgets include collaborators pay and OH (for HEI's) as these are combined as a day rate in the application the funder)",295198.25,295262.16,322038.44,322038.44,321930.81,322010.71,-26776.28,91.69,37762.71,12.79,16129.26,5.46,257499.45,322010.71,0.00,322010.71,0.00,322010.71,257499.45,14375.00,14375.00,322010.71,0.00,322010.71,0.00,322010.71,14375.00,0.00,0.00,24689.49,21633.45,2727.04,329.00,39849.50,0.00,38309.80,38245.89,47914.99,47914.99,47887.26,47807.36,-9605.19,79.95,23934.80,62.48,2301.35,6.01,"2023-04-14 15:40:39",,Discoverable,,"2023-01-27 14:45:05","Sue Atkinson (SAM45)","2023-10-08 21:20"
